,popgrowthregpred1620
0,0.031208261418946226
1,0.017696416767094977
2,0.005719238683539406
3,0.003951707026327743
4,0.032538351560136215
5,0.024643222485854148
6,0.021979360780181374
7,0.0010655036500793096
8,0.004439396295565681
9,0.004948127267772985
10,0.023017369564194905
11,0.02571644227269089
12,0.024298447155426353
13,0.0197264616123473
14,0.023891392759921967
15,0.01996354182363436
16,0.025984011336476622
17,0.027585893599484393
18,0.023557565070960265
19,0.026066504451645964
20,0.021131178455683682
21,0.020938708501734196
22,0.0235144337857183
23,0.020433094142543056
24,0.021667107528814015
25,0.019078987711112085
26,0.021064080708294096
27,0.011046643590044236
28,0.012587518454501723
29,0.024794948700750996
30,0.015407203625918407
31,0.02124366769893814
32,-0.005185709181648164
33,0.02608895975255927
34,0.018895600275151084
35,0.01691266335530408
36,-0.0022140284238148875
37,0.021298458792091822
38,0.016574704607837817
39,-0.0069949558198394044
40,0.026058158469501713
41,0.028513730180092397
42,0.011945513528365103
43,-0.006323987315822389
44,-0.004908415167610054
45,0.007857200820096033
46,-0.0058152663342268054
47,-0.007755918444429372
48,0.023914411880152215
49,0.025046473262246752
50,0.013319609342511907
51,0.02572359556280502
52,0.014804801798089882
53,0.022188714846564074
54,0.012493833628361675
55,0.025507771188078985
56,0.022688558945449553
57,-0.0028688050668031254
58,0.026453761343240866
59,0.025765184138580553
60,-0.0024051694752975496
61,0.022009101392472603
62,0.020597092768931916
63,0.02582070562115786
64,0.024555334364729235
65,0.018902220439585567
66,0.022261495136303367
67,0.011934838614074433
68,0.009369398157115415
69,0.011542298719291778
70,0.00537271392439517
71,0.026434276804308834
72,0.006046672148858592
73,0.0071006978510670645
74,0.01094874666476572
75,-0.0011599717754962285
76,0.026760526705505504
77,0.002613746382576301
78,0.02019457721441284
79,0.027799719256942995
80,0.01614078982220801
81,0.01702968815194149
82,0.01749321864873157
83,0.01703075367544907
84,0.015552782066110531
85,0.014943510951252013
86,0.013662449552116101
87,0.01693796143739119
88,0.019789379266600238
89,0.008497976969199884
90,0.015233916642129057
91,0.019605854899084167
92,0.017701892776918318
93,0.016487745326318116
94,0.02222215531271692
95,0.015379583385584249
96,0.019703919216372833
97,0.014698896043507718
98,0.022934390334282424
