,entmun,xpop16,ypop16,ptot15cum,xpop16m3,xpop16m2,xpop16m1,xpop160,xpop161,xpop162,xpop163,ypop16m3,ypop16m2,ypop16m1,ypop160,ypop161,ypop162,ypop163,cum16pm3,cum16pm2,cum16pm1,cum16p0,cum16p1,cum16p2,cum16p3
254,8057,-5.643548935716846,1.7521162536805848,393049,0.27931596091205213,0.28298045602605865,0.28664495114006516,0.2894951140065147,0.2935667752442997,0.2972312703583062,0.30415309446254074,0.8318403908794788,0.8399837133550488,0.8464983713355049,0.8517915309446255,0.8566775244299675,0.8615635179153095,0.86685667752443,0.13762214983713356,0.13762214983713356,0.13762214983713356,0.13762214983713356,0.13802931596091206,0.13802931596091206,0.13802931596091206
255,8058,-3.7367018679331587,0.16128382966045524,462556,0.4372964169381108,0.44218241042345274,0.44584690553745926,0.4495114006514658,0.4535830618892508,0.4552117263843648,0.4572475570032573,0.5431596091205212,0.5561889250814332,0.5684039087947883,0.5781758957654723,0.5895765472312704,0.6001628664495114,0.6115635179153095,0.1498371335504886,0.1498371335504886,0.1498371335504886,0.1498371335504886,0.1502442996742671,0.1502442996742671,0.1502442996742671
256,8059,-1.2018230666455911,0.20350813342755716,1631791,0.5956840390879479,0.5977198697068404,0.6001628664495114,0.6021986970684039,0.6038273615635179,0.6066775244299675,0.6099348534201955,0.5557817589576547,0.5663680781758957,0.5761400651465798,0.5883550488599348,0.5973127035830619,0.6099348534201955,0.6213355048859935,0.28094462540716614,0.28094462540716614,0.28094462540716614,0.28094462540716614,0.28135179153094464,0.28135179153094464,0.28135179153094464
257,8060,-0.22669827657619152,0.529089661910291,4570923,0.6473941368078175,0.6502442996742671,0.6518729641693811,0.6522801302931596,0.6539087947882736,0.6547231270358306,0.6571661237785016,0.6229641693811075,0.635586319218241,0.6465798045602605,0.6571661237785016,0.6665309446254072,0.6795602605863192,0.6893322475570033,0.43973941368078173,0.43973941368078173,0.43973941368078173,0.43973941368078173,0.44014657980456023,0.44014657980456023,0.44014657980456023
258,8061,-5.534920478948401,0.29118665697209195,764871,0.28664495114006516,0.2899022801302932,0.2943811074918567,0.3000814332247557,0.30456026058631924,0.30944625407166126,0.3114820846905538,0.5741042345276873,0.5859120521172638,0.5932410423452769,0.6078990228013029,0.6197068403908795,0.625814332247557,0.6380293159609121,0.19340390879478828,0.19340390879478828,0.19340390879478828,0.19340390879478828,0.19381107491856678,0.19381107491856678,0.19381107491856678
259,8062,-0.5526872205609278,1.4474330059906273,18096768,0.6294788273615635,0.631514657980456,0.6343648208469055,0.6359934853420195,0.6404723127035831,0.6429153094462541,0.6457654723127035,0.7960097719869706,0.8025244299674267,0.8090390879478827,0.8143322475570033,0.8200325732899023,0.8253257328990228,0.8314332247557004,0.7308631921824105,0.7308631921824105,0.7308631921824105,0.7308631921824105,0.7312703583061889,0.7312703583061889,0.7312703583061889
260,8063,-5.4459353370814805,1.0093481629025616,2358129,0.2935667752442997,0.2968241042345277,0.30415309446254074,0.30822475570032576,0.3114820846905538,0.3135179153094462,0.31718241042345274,0.7284201954397395,0.7353420195439739,0.743485342019544,0.7536644951140065,0.760586319218241,0.7658794788273615,0.7740228013029316,0.3330618892508143,0.3330618892508143,0.3330618892508143,0.3330618892508143,0.3334690553745928,0.3334690553745928,0.3334690553745928
261,8064,-6.568195105528319,1.7544006193393353,269320,0.21254071661237786,0.21742671009771988,0.22027687296416937,0.22394136807817588,0.2255700325732899,0.2284201954397394,0.23208469055374592,0.8330618892508144,0.8399837133550488,0.8469055374592834,0.8530130293159609,0.8566775244299675,0.8619706840390879,0.86685667752443,0.11156351791530944,0.11156351791530944,0.11156351791530944,0.11156351791530944,0.11197068403908794,0.11197068403908794,0.11197068403908794
262,8065,-6.3573805990967145,-1.013927736916649,11842041,0.2271986970684039,0.2284201954397394,0.23371335504885993,0.23493485342019543,0.23941368078175895,0.24511400651465798,0.2479641693811075,0.10301302931596092,0.12866449511400652,0.15472312703583063,0.18078175895765472,0.20643322475570033,0.23697068403908794,0.26099348534201955,0.631514657980456,0.631514657980456,0.631514657980456,0.631514657980456,0.6319218241042345,0.6319218241042345,0.6319218241042345
263,8066,-5.244425160537496,-0.9582934579763487,2195668,0.3114820846905538,0.3135179153094462,0.31718241042345274,0.32206840390879476,0.3273615635179153,0.3318403908794788,0.33631921824104233,0.13110749185667753,0.1563517915309446,0.18403908794788273,0.20969055374592835,0.24022801302931596,0.26262214983713356,0.28379478827361565,0.32247557003257327,0.32247557003257327,0.32247557003257327,0.32247557003257327,0.32288273615635177,0.32288273615635177,0.32288273615635177
264,8067,-1.4444912531808238,3.2784249280485884,1729616,0.5834690553745928,0.5863192182410424,0.5895765472312704,0.5920195439739414,0.5948697068403909,0.5956840390879479,0.5977198697068404,0.9560260586319218,0.9580618892508144,0.9617263843648208,0.9649837133550488,0.9666123778501629,0.9678338762214984,0.9686482084690554,0.28868078175895767,0.28868078175895767,0.28868078175895767,0.28868078175895767,0.2890879478827362,0.2890879478827362,0.2890879478827362
265,9002,11.440108223970661,-1.2740908259967798,71449649,0.8982084690553745,0.8986156351791531,0.8986156351791531,0.8986156351791531,0.8990228013029316,0.8990228013029316,0.8998371335504886,0.06311074918566775,0.06758957654723127,0.07532573289902281,0.08061889250814332,0.08794788273615635,0.1005700325732899,0.12255700325732899,0.9743485342019544,0.9743485342019544,0.9743485342019544,0.9743485342019544,0.9747557003257329,0.9747557003257329,0.9747557003257329
