,entmun,firmgrowthregpred,popgrowthregpred,firmgrowthregpred1620,popgrowthregpred1620,y1,y2,resfirms,respop
0,1001,0.7341785967160905,0.019672089670797126,0.7576599725913771,0.031208261418946226,0.6932017742894354,0.020120199,0.040976822426655124,-0.0004481093292028719
1,1002,0.147814618641323,0.010523473189143479,0.18285771670625772,0.017696416767094974,0.12353310783087636,0.0042732790000000005,0.024281510810446646,0.006250194189143478
2,1003,0.1649599624711457,0.006980077143818024,0.16491096005674302,0.005719238683539406,0.25033239506210725,0.0070636909999999995,-0.08537243259096156,-8.361385618197575e-05
3,1004,0.06231491389291896,0.009492967156556072,0.11323037071673515,0.0039517070263277426,0.08352422366710938,0.007113416,-0.021209309774190416,0.0023795511565560716
4,1005,0.5047333899901307,0.022687656277912967,0.5395001612799109,0.032538351560136215,0.5602790210154924,0.041801386,-0.0555456310253617,-0.019113729722087035
5,1006,0.16960142676342727,0.01610525923470411,0.21199846478687925,0.024643222485854148,0.19994763640175586,0.022029526,-0.030346209638328597,-0.00592426676529589
6,1007,0.16577771403069594,0.015682874560558155,0.268536287346702,0.02197936078018137,-0.009974564209641934,0.01916348,0.17575227824033787,-0.0034806054394418452
7,1008,0.04460356681693973,0.008880990887260043,0.10634841150869226,0.0010655036500793096,0.036316649539322836,0.010730783,0.008286917277616893,-0.0018497921127399574
8,1009,0.06906294927911205,0.008977715331362287,0.11027080850819064,0.004439396295565681,-0.11137412470710834,0.012792353000000001,0.1804370739862204,-0.003814637668637714
9,1010,0.06588287263381389,0.009480241305047784,0.11776150243477695,0.004948127267772985,0.0800776754765663,0.01505205,-0.014194802842752416,-0.005571808694952217
10,1011,0.19693189942114472,0.019618884592986188,0.2835702878545172,0.023017369564194902,0.1880858033710732,0.059744470999999987,0.008846096050071528,-0.0401255864070138
11,2001,0.8565526022784951,0.014470037031383004,0.7557488774778884,0.02571644227269089,1.2418429681201566,0.008493747,-0.38529036584166154,0.005976290031383004
12,2002,1.0841963344464145,0.01418575400015745,0.970574429839648,0.024298447155426357,1.3021281004475735,0.011013998,-0.21793176600115904,0.00317175600015745
13,2003,0.4825232344180789,0.013486668722574698,0.5357936751920757,0.0197264616123473,0.21468580207165955,0.002625669,0.2678374323464193,0.010860999722574698
14,2004,1.057041727547231,0.014113324075921266,0.9239240192848084,0.02389139275992197,1.2825873020357133,0.010500467,-0.22554557448848223,0.0036128570759212664
15,2005,0.30213052308529,0.012739470558607422,0.3898494348195508,0.01996354182363436,0.4224327272032662,0.013380686000000001,-0.12030220411797621,-0.0006412154413925793
16,3001,0.3630556998630255,0.016845858775882645,0.4409734950968199,0.025984011336476626,0.1693052810268596,0.004936737,0.1937504188361659,0.011909121775882645
17,3002,0.3728325436211796,0.019296471485816574,0.4220955932490919,0.027585893599484396,0.30447555191765474,0.0035761409999999997,0.06835699170352488,0.015720330485816572
18,3003,0.6079384524711934,0.016286518210295926,0.6123365873907093,0.02355756507096026,0.7774675638658497,0.016548154,-0.16952911139465632,-0.0002616357897040726
19,3008,0.5173018962656496,0.018993479119726417,0.5131774329696949,0.02606650445164596,0.6029668971454392,0.041246693,-0.08566500087978957,-0.022253213880273584
20,3009,-0.01495825126629676,0.017948078611598937,0.09860467833427727,0.021131178455683682,0.11285222721160848,0.025976818999999998,-0.12781047847790525,-0.00802874038840106
21,4001,0.18955750274762345,0.01374521471012196,0.28287649681978416,0.0209387085017342,0.13277290301466627,0.013790887,0.056784599732957186,-4.567228987804005e-05
22,4002,0.6121202611498809,0.015870471358243144,0.6174494538260259,0.0235144337857183,0.7648738823182839,0.018547904,-0.15275362116840296,-0.0026774326417568564
23,4003,0.5119091943779082,0.018298238136472897,0.5352549304758456,0.020433094142543056,0.5018713474405851,0.024613061000000002,0.010037846937323014,-0.006314822863527105
24,4004,0.3449841346321221,0.013299312024350978,0.4149229509202799,0.02166710752881401,0.3420671734547136,0.017400416999999998,0.0029169611774084725,-0.004101104975649019
25,4005,0.15743028954993407,0.013925531972196837,0.2073841881386182,0.019078987711112085,0.14144590897071269,0.020659931,0.015984380579221386,-0.006734399027803163
26,4006,0.1623761017142668,0.01316402045558911,0.19795940192409697,0.021064080708294096,0.273498428502084,0.012298488,-0.1111223267878172,0.0008655324555891103
27,4007,-0.09454219224914943,0.01418264480124052,0.07168944528168628,0.011046643590044236,-0.26457275900087096,0.014822796999999999,0.1700305667517215,-0.0006401521987594791
28,4008,0.0916790156792872,0.014265412930031534,0.1376732673985679,0.012587518454501723,0.3074714386661246,0.019083813,-0.21579242298683737,-0.004818400069968467
29,4009,0.18483881705599328,0.01354238626439133,0.2671019703628613,0.024794948700751,0.3866110552320636,0.016126532,-0.20177223817607035,-0.002584145735608669
30,4010,0.14205652653009884,0.01441966898789031,0.15598910641407926,0.015407203625918409,0.530688870864211,0.011472361,-0.3886323443341122,0.002947307987890309
31,4011,0.12360287763179488,0.01189991732303556,0.14755051034601654,0.02124366769893814,-0.04814293295930838,0.013035878999999998,0.17174581059110328,-0.001135961676964439
32,5001,0.012211406141951731,-0.010480616451875662,0.10064085604918993,-0.005185709181648164,0.07595019479619636,-0.010280374,-0.06373878865424462,-0.00020024245187566167
33,5002,0.3817882128257475,0.015018979590122597,0.5052098827233409,0.02608895975255927,0.3500812634110124,0.016166137,0.031706949414735064,-0.001147157409877404
34,5003,0.09817673910970223,0.014704613640013416,0.15536314268591347,0.018895600275151084,-0.11678849257655136,-0.00018522599999999998,0.2149652316862536,0.014889839640013416
