,entmun,xpop16,ypop16,ptot15cum
0,1001,15.383318968186021,-0.5825551695492468,98265215
1,1002,3.0084701312368827,0.7080777045703301,25898514
2,1003,4.996104700342403,3.8562462975360403,29150815
3,1004,0.5636930707307112,1.153256046533198,7896876
4,1005,8.374752934810145,0.1307132027259916,45596596
5,1006,2.733412219627222,0.4580353235785601,25944987
6,1007,-0.5398323287359234,0.9520919609924282,28655353
7,1008,-3.415471510663887,2.8535367164782075,3581774
8,1009,-2.6002974216961183,1.6490235631365637,11821094
9,1010,-1.811487937227667,1.326892235414847,11429664
10,1011,8.128545675626484,0.8990381248951196,25852050
11,2001,33.0755705176615,-0.4508752887978071,76685031
12,2002,26.964222305295255,-0.1250605548299287,103692526
13,2003,38.59084211270326,0.6406187866031177,42517673
14,2004,44.04420322936113,-0.21046743388672043,115986096
15,2005,44.977758146379294,0.9528839937622163,41223129
16,3001,17.67256424587627,-1.0745303691349783,34493736
17,3002,28.023051038161324,-1.3835393678115144,30829689
18,3003,21.079108380767238,-1.0874791434137074,62619893
19,3008,49.27175029332766,-1.2466411573388922,64574443
20,3009,18.807772536078772,-0.8266850327028459,10272462
21,4001,-2.3236104698284707,-1.1460405152056663,29376088
22,4002,7.104527475023839,-1.0999647953338594,64002310
23,4003,27.71477530325582,-1.619875538229902,61288111
24,4004,12.860004193849685,-0.8883174162695042,39344686
25,4005,-2.45852164190869,-1.157324338873311,18159200
26,4006,3.899690870794572,-1.285040993606896,22857378
27,4007,13.777525392508027,-1.6088416173344489,3662235
28,4008,-3.57378953916249,-7.1530228766495885,4528106
29,4009,19.721371821568752,-0.5048841272396439,30354235
30,4010,34.85504962295019,-1.6366093124479693,16692003
31,4011,28.320758678916892,-0.7366436677985556,24718539
32,5001,-4.05268202907889,1.7406942260358986,93526
33,5002,15.961843780376244,-0.17967380346473044,49314305
34,5003,1.5110919166096801,0.20692764892156135,12951893
35,5004,0.3451069679050033,-1.1089256130402319,13412140
36,5005,19.329012801911126,-0.36876869803197343,276153
37,5006,-4.66048688979212,0.2876650232385376,16324654
38,5007,-4.453696224051214,-0.5746522211441969,6500438
39,5008,-4.206447660108401,1.649986591968566,699256
40,5009,1.5181245774976668,-0.7036384430142512,30178680
41,5010,-1.6114159976700728,-0.4546334122780516,37116446
42,5011,-4.683062552418391,-0.7966678395894465,5786718
43,5012,7.394073470080854,0.783021241047181,267623
44,5013,55.27753084105548,-2.1206288586089617,226991
45,5014,1.1129904284118144,0.7086808271414583,4372105
46,5015,3.6737285827306625,3.205095888529242,233272
47,5016,-5.150921208731527,0.5811377602072112,293659
48,5017,-0.729328561691657,-0.6123164678932863,43989771
49,5018,0.05612353978453868,-0.5585296842663459,59838785
50,5019,0.7475640714892482,0.3863317362506677,3414966
51,5020,-2.429040584237605,-0.15970738205628646,33862199
52,5021,-5.185537441881133,-0.36750600686299867,2416862
53,5022,6.201618674107028,0.06334831303179744,17817801
54,5023,3.2967278433369214,-0.7255216355711986,5156000
55,5024,-2.991336457802976,-0.8814143679984211,25029691
56,5025,11.604196383121668,0.3640332504571615,52868191
57,5026,-0.6343686232289566,0.6524689215928766,835908
58,5027,11.247185025270275,-1.0247424992914593,39897630
59,5028,-0.719963475820804,-0.08847661215336755,32005388
60,5029,-7.254353521885279,-0.7393808502610426,433466
61,5030,8.097291057101472,-1.0573672481752694,94035372
62,5031,-3.8641731089850873,0.07936926886807656,13576391
63,5032,-2.1404130898959774,0.03633126933702861,24151845
64,5033,-2.6364633768531256,-0.477073469231932,43666128
65,5034,35.86590635092043,-1.1859275671111804,2601093
66,5035,10.675646216516789,-0.9467576114408801,88201179
67,5036,2.9117683574537807,-0.9220276505596595,12267576
68,5037,-3.763024741557764,0.6920871167667777,2332532
69,5038,-0.818533949930744,0.8328489785750148,6299637
70,6001,18.5704132008623,2.5222129323774736,17333986
71,6002,21.86573025162225,0.1628182174820808,50363751
72,6003,1.4063106274936032,1.7512806957528633,12224479
73,6004,10.078234023175716,1.6983834795169155,11389177
74,6005,7.816525676275805,1.2034786322115258,17543167
75,6006,10.968586562855615,2.1800492470482387,1933660
76,6007,29.93602569445685,-0.37468170422403574,55302213
77,6008,15.014015771286676,2.211806654926137,3680200
78,6009,19.62263714120313,0.5578130765846945,46209410
79,6010,21.372773337684905,0.18936069067169048,47895407
80,7001,-6.288746685768609,-0.30170129022366193,9627308
81,7002,-8.16280134924145,-0.8304472335036155,18284789
82,7003,-3.9821911488322503,0.20602428791463565,16663579
83,7004,2.439577528623239,-1.1250596385117144,18929160
84,7005,-8.658214344385309,-1.1119142632790229,10597392
85,7006,-6.749128244251938,0.5064694568703881,17848533
86,7007,-5.456588778970736,-1.2848699991184525,4200901
87,7008,-8.291321983673475,-0.7626106765115443,16409029
88,7009,-2.6312092477396654,-0.6473388919699633,22897492
89,7010,-8.179212565718181,-0.13502220983810256,2867597
90,7011,-7.793764713412969,-0.08405043967994721,11227802
91,7012,-3.6438586329606966,-1.03917083966681,27753794
92,7013,-9.177820957537994,-1.0243781218400008,19883515
93,7014,-6.349575867129302,-1.1653067444524865,12883977
94,7015,-5.429912042135732,-0.48731504157212097,25483060
95,7016,-1.4438890422741841,-1.0697627358324202,8975326
96,7017,-5.893553503479724,-0.8470388295698336,37858041
97,7018,-8.954265446490304,-0.48037278242134207,3798752
98,7019,-3.541865845829578,-0.48167670952210184,51432024
99,7020,-8.76943343765714,-0.4587659810015201,25805596
100,7021,-8.280745578288542,-0.3488807353456022,12419306
101,7022,-9.187582318032543,-7.190319401024788,8721381
