,x16,y16,z16,xm163,xm162,xm161,x160,x161,x162,x163,ym163,ym162,ym161,y160,y161,y162,y163,zm163,zm162,zm161,z160,z161,z162,z163,entmun
0,0.7867581859102659,0.6381056326955374,0.17156726951558515,0.9796416938110749,0.9845276872964169,0.987785016286645,0.9914495114006515,0.993485342019544,0.9963355048859935,0.998371335504886,0.9804560260586319,0.9837133550488599,0.988599348534202,0.99185667752443,0.9930781758957655,0.995114006514658,0.997557003257329,0.0016286644951140066,0.03705211726384365,0.1763029315960912,0.50814332247557,0.9299674267100977,0.9653908794788274,0.9780130293159609,1001
1,0.10126548109793014,0.23290800107970577,0.1417783867095891,0.0,0.00040716612377850165,0.38558631921824105,0.6653094462540716,0.8008957654723127,0.8631921824104235,0.8998371335504886,0.004071661237785016,0.017915309446254073,0.13029315960912052,0.36482084690553745,0.6710097719869706,0.9470684039087948,0.9674267100977199,0.0,0.009771986970684038,0.0724755700325733,0.28542345276872966,0.6905537459283387,0.9531758957654723,0.9731270358306189,1002
2,0.19134373734318139,0.176758549683873,0.176980175213087,0.2964169381107492,0.625814332247557,0.7793159609120521,0.8497557003257329,0.8945439739413681,0.9201954397394136,0.9360749185667753,0.002035830618892508,0.004071661237785016,0.013436482084690555,0.10423452768729642,0.3289902280130293,0.6302931596091205,0.9246742671009772,0.003257328990228013,0.04763843648208469,0.20439739413680783,0.5606677524429967,0.9421824104234527,0.9682410423452769,0.9784201954397395,1003
3,0.0726273916871725,0.24480861422921552,0.15750604075223953,0.0,0.0,0.09568403908794788,0.5301302931596091,0.7353420195439739,0.8298045602605864,0.8794788273615635,0.004478827361563518,0.03175895765472313,0.16938110749185667,0.43444625407166126,0.74185667752443,0.9613192182410424,0.9702768729641694,0.0008143322475570033,0.02035830618892508,0.11685667752442996,0.3961726384364821,0.8436482084690554,0.9605048859934854,0.9755700325732899,1004
4,0.3297412265753101,0.25640188307043627,0.049650196954786646,0.8350977198697068,0.884771986970684,0.9177524429967426,0.9324104234527687,0.9482899022801303,0.9556188925081434,0.9641693811074918,0.006514657980456026,0.048859934853420196,0.2276058631921824,0.5,0.8147394136807817,0.9641693811074918,0.9723127035830619,0.0,0.0,0.0,0.014657980456026058,0.08998371335504886,0.33754071661237783,0.7675081433224755,1005
5,0.17469415643311817,0.19790073734504118,0.08895797900269067,0.11929967426710097,0.5500814332247557,0.7398208469055375,0.8326547231270358,0.881514657980456,0.9149022801302932,0.9311889250814332,0.002035830618892508,0.005293159609120521,0.03664495114006515,0.18566775244299674,0.4568403908794788,0.7601791530944625,0.9621335504885994,0.0,0.0,0.008550488599348535,0.06636807817589577,0.26547231270358307,0.6616449511400652,0.9519543973941368,1006
6,0.1821050687863666,0.20318791686396456,0.12820465765541467,0.20724755700325734,0.5859120521172638,0.756514657980456,0.8391693811074918,0.8859934853420195,0.9185667752442996,0.9336319218241043,0.0024429967426710096,0.0061074918566775245,0.04275244299674267,0.21254071661237786,0.48534201954397393,0.7951954397394136,0.9633550488599348,0.0,0.004478827361563518,0.04804560260586319,0.20846905537459284,0.5708469055374593,0.9434039087947883,0.9686482084690554,1007
7,0.07013405599562299,0.24475997095426671,0.17737195657989338,0.0,0.0,0.07003257328990228,0.5154723127035831,0.7255700325732899,0.8273615635179153,0.877442996742671,0.004478827361563518,0.031351791530944625,0.16938110749185667,0.43403908794788276,0.7406351791530945,0.9613192182410424,0.9702768729641694,0.0036644951140065146,0.04763843648208469,0.20480456026058633,0.5635179153094463,0.9429967426710097,0.9682410423452769,0.9784201954397395,1008
8,0.06550706692223911,0.26981834711191566,0.163393935265587,0.0,0.0,0.033794788273615636,0.49267100977198697,0.7088762214983714,0.8212540716612378,0.8713355048859935,0.009364820846905538,0.08143322475570032,0.2951954397394137,0.5875407166123778,0.8957654723127035,0.9657980456026058,0.9743485342019544,0.0008143322475570033,0.025651465798045604,0.13884364820846906,0.44136807817589574,0.8876221498371335,0.9633550488599348,0.9776058631921825,1009
9,0.07779318949912992,0.24172768147610837,0.1532298285761867,0.0,0.0,0.15757328990228012,0.5663680781758957,0.7447068403908795,0.8342833876221498,0.88314332247557,0.004478827361563518,0.02809446254071661,0.15553745928338764,0.4153094462540717,0.7259771986970684,0.9605048859934854,0.9694625407166124,0.00040716612377850165,0.016286644951140065,0.10179153094462541,0.36034201954397393,0.8070032573289903,0.9588762214983714,0.9751628664495114,1010
