,firmgrowthregpred1620
0,0.7576599725913771
1,0.18285771670625775
2,0.16491096005674302
3,0.11323037071673515
4,0.5395001612799109
5,0.21199846478687925
6,0.268536287346702
7,0.10634841150869226
8,0.11027080850819064
9,0.11776150243477695
10,0.2835702878545172
11,0.7557488774778884
12,0.9705744298396481
13,0.5357936751920757
14,0.9239240192848085
15,0.3898494348195508
16,0.44097349509681993
17,0.42209559324909185
18,0.6123365873907093
19,0.5131774329696949
20,0.09860467833427727
21,0.28287649681978416
22,0.6174494538260259
23,0.5352549304758456
24,0.4149229509202799
25,0.2073841881386182
26,0.197959401924097
27,0.07168944528168628
28,0.1376732673985679
29,0.26710197036286126
30,0.15598910641407923
31,0.14755051034601654
32,0.10064085604918993
33,0.5052098827233409
34,0.15536314268591347
35,0.1921628067723734
36,0.09348384171920263
37,0.18202964446590367
38,0.11063634972516036
39,0.10212104392370276
40,0.2642473415017846
41,0.49496380676954105
42,0.10799393583804687
43,0.09306484136154784
44,0.09557064154001789
45,0.10199524390603433
46,0.09926877694610091
47,0.09728952923488088
48,0.3393862911855261
49,0.47149661657966796
50,0.11505018199588685
51,0.3082637770301448
52,0.09967090098244612
53,0.1839115749479144
54,0.10840771216051048
55,0.2492717398191542
56,0.4942379851964721
57,0.10434111618188653
58,0.5478668406633258
59,0.3754341231067669
60,0.09813959039935698
61,0.7078711707148828
62,0.16965209485298535
63,0.21006502192147972
64,0.29116996766956604
65,0.09820449895890485
66,0.7614565110955624
67,0.09955184992814779
68,0.1043989463345182
69,0.1232711159289971
70,0.14567913820631698
71,0.5834989953338345
72,0.15127691823377948
73,0.12124404899184248
74,0.18177001999285808
75,0.10970054459700099
76,0.5658765477806157
77,0.11610895534982908
78,0.481543668578739
79,0.3576333869972041
80,0.13847495579058405
81,0.16004614136084222
82,0.12546721895447122
83,0.18960774004088274
84,0.10795287025136288
85,0.13190739703148519
86,0.11104925017939765
87,0.18466856870647771
88,0.34358647963988037
89,0.09940788229317467
90,0.10593636238876747
91,0.20135387963091536
92,0.203571064399789
93,0.10820300341811571
94,0.19658950819008547
95,0.08830768885942399
96,0.2785589968040086
97,0.1040766799119229
98,0.40485424328896796
99,0.1667664193075911
100,0.16837735202446347
101,0.10483878996047633
102,0.19079759144601785
103,0.1030249292750036
104,0.09921595643976197
105,0.14282396893759705
106,0.2970230226151396
107,0.09901400113402127
108,0.09467832652248004
109,0.19867346076071818
110,0.21121486869121917
111,0.18134738731781858
112,0.10428759017501951
113,0.26841999109229714
114,0.10469747819636699
115,0.10286397363265991
116,0.1978998779383024
117,0.10323341871187983
118,0.10697834887046546
119,0.22322557390667647
120,0.19896999484873215
121,0.10898979178405344
122,0.10703253026229964
123,0.13183323999222962
124,0.09713728621583735
125,0.19998086234692272
126,0.11008353941951983
127,0.13138511011343018
128,0.11916620088491668
129,0.0943554600456906
130,0.16136666907234254
131,0.20803793024079054
132,0.1016673057657939
133,0.15751270443865598
134,0.09440978462148021
135,0.1027900767126274
136,0.2760820258089867
137,0.10643446728635005
138,0.35053328402273015
139,0.10572961838155423
140,0.2703192865032006
141,0.10644915769375247
142,0.09994923889776333
143,0.19851846311782947
144,0.36223841588445
145,0.13534094108821962
146,0.10515144840652801
147,0.21239684215386048
148,0.16118036188769683
149,0.10505052944073229
150,0.15155540842752774
151,0.18930334129736728
152,0.11825061629766247
153,0.20100018455340765
154,0.17790606687167326
155,0.11284654627663863
156,0.16119477941786933
157,0.4480633907803223
158,0.19294421127943823
159,0.15854431495218876
160,0.19321676951040506
161,0.10334677609946717
162,0.10640442796077149
163,0.0997490843859012
164,0.10224072391576346
165,0.17859901663763983
166,0.18167860063145483
167,0.09666017624624854
168,0.49757092054731583
169,0.09901153860579753
170,0.15520636371872917
171,0.17618431930604642
172,0.1302942059050942
173,0.19971620221564937
174,0.19723809933444694
175,0.4957396597368248
176,0.10074295625747737
177,0.20227614053411241
178,0.13168991700086846
179,0.7361252093704785
180,0.16291125312909482
181,0.13431038714894247
182,0.11095809386678021
183,0.11665010060731947
184,0.22294500723052346
185,0.22108762772158685
186,0.30665211478426835
187,0.25018276957572033
188,0.0995349546391219
189,0.19274489069935188
190,0.13570246580448092
191,0.09528760585809093
192,0.15154487319355994
193,0.10461697459083333
194,0.09946985432220111
195,0.09876738550543633
196,0.10011658982555341
197,0.09807989554438079
198,0.12455586443337742
199,0.18343279467871978
200,0.10902472982115086
201,0.1051008448774343
202,0.16514879020352058
203,0.09584975989147768
204,0.09989989087340487
205,0.09786689422273635
206,0.1818781347733336
207,0.20694409359189875
208,0.31415649683286695
209,0.09844184960956799
210,0.10662990142738728
211,0.09730757133823968
212,0.09787183169626455
213,0.09681392337902003
214,0.5490679207814491
215,0.10434983657193497
216,0.7415098975552034
217,0.0953396221596704
218,0.4714307522185426
219,0.09711349927669262
220,0.10078056678295923
221,0.09664226510122194
222,0.12606902510777063
223,0.09833502527803518
224,0.1845469142778637
225,0.09300752286048918
226,0.164407444147004
227,0.0974497158194001
228,0.1914316139037854
229,0.43570905716571573
230,0.09761565750327203
231,0.1026469556976354
232,0.10424715185676953
233,0.24266521958902204
234,0.6845466992061607
235,0.09727460433572725
236,0.09737833114026834
237,0.22207276397432396
238,0.09523830021116855
239,0.10066734901945693
240,0.0937718883358592
241,0.0959216160430828
242,0.23585593339127117
243,0.09769321728646563
244,0.09189805584037805
245,0.1510300269954703
246,0.09540141793047854
247,0.3520428953812514
248,0.10113025461668775
249,0.19043436179942838
250,0.09657221654210299
251,0.0985941860963015
252,0.10876241568915164
253,0.09492091274339065
254,0.09608172946502333
255,0.0997324331855044
256,0.09318368954264887
257,0.11319950469185185
258,0.09555526757539527
259,0.17245072671964595
260,0.09774099934798414
261,0.09592057974164939
262,0.09772606899936662
263,0.08949919003584839
264,0.09903305048198022
265,0.4890496222320026
266,0.5794599963413454
267,0.5021682652823966
268,0.8135237288661356
269,0.490806540749289
270,0.7953309495246641
271,0.43459687309998435
272,0.41577050825485773
273,0.6232899951571601
274,0.5157461463170907
275,0.5587323317040366
276,0.5051600754371016
277,0.6735972523481604
278,0.6716785231420729
279,0.6946945195900004
280,0.5400537886493458
281,0.2029866998672773
282,0.09570606072498693
283,0.09971476672844094
284,0.19205876324618648
285,0.6467097998977593
286,0.1022663750883697
287,0.4707081251768333
288,0.21128704226969156
289,0.10190928220232749
290,0.10137146545707365
291,0.10013381563287518
292,0.4371256137461239
293,0.16764352932876
294,0.12507133237075682
295,0.10603222340747587
296,0.12665146080629408
297,0.10844311639619401
298,0.13042576265125547
299,0.09760422897310572
300,0.13276982122194753
301,0.13076985579936398
