,popgrowthregpred
0,0.019672089670797123
1,0.010523473189143479
2,0.006980077143818024
3,0.009492967156556073
4,0.022687656277912967
5,0.01610525923470411
6,0.015682874560558155
7,0.008880990887260043
8,0.008977715331362287
9,0.009480241305047783
10,0.019618884592986188
11,0.014470037031383004
12,0.01418575400015745
13,0.013486668722574698
14,0.014113324075921266
15,0.012739470558607422
16,0.016845858775882645
17,0.019296471485816577
18,0.016286518210295926
19,0.018993479119726417
20,0.017948078611598937
21,0.01374521471012196
22,0.015870471358243144
23,0.018298238136472897
24,0.013299312024350978
25,0.013925531972196837
26,0.01316402045558911
27,0.01418264480124052
28,0.014265412930031534
29,0.01354238626439133
30,0.01441966898789031
31,0.01189991732303556
32,-0.010480616451875662
33,0.015018979590122598
34,0.014704613640013416
35,0.011099853768894073
36,-0.00749883223510659
37,0.014906413820531103
38,0.014708625099478
39,-0.00708352849924184
40,0.01634454428376989
41,0.015418591313378376
42,0.00965732928048597
43,-0.011463487813295408
44,-0.008818655252256129
45,0.009003959043332512
46,-0.010399602917992764
47,-0.005106100490167736
48,0.015329121967248593
49,0.014587804759981893
50,0.015668815473555666
51,0.015042173778059295
52,0.01197474495370719
53,0.014956020216590002
54,0.010766418005499802
55,0.01540503041861351
56,0.013956188681265903
57,-0.004036067117269815
58,0.017557816782726485
59,0.014954007253565525
60,-0.00477913844703074
61,0.013837600899835501
62,0.015112042947654598
63,0.01428264139647902
64,0.01484764761851815
65,0.013373387856974575
66,0.013798420738127417
67,0.009366177890930737
68,0.010658623091978544
69,0.013627996233793262
70,0.006615228372440918
71,0.015865354395488192
72,0.00854140561306394
73,0.008776589747988258
74,0.01276086162593479
75,1.1909211058256974e-05
76,0.016886499464853127
77,0.007014729208530128
78,0.014734032883028717
79,0.016101731540781223
80,0.012091517595561057
81,0.0122059065752329
82,0.01187669701235374
83,0.01274391707671218
84,0.01278792905288242
85,0.011782066406348428
86,0.013474155055398198
87,0.01256191409632412
88,0.013527599931887957
89,0.010177986516288488
90,0.011763505390494929
91,0.012670635820747692
92,0.01289245273608723
93,0.012890894107025838
94,0.01303681781514789
95,0.011822609529250471
96,0.013033411857637237
97,0.0123210315430228
98,0.014001882439950378
99,0.011972489656306269
100,0.012455052500431857
101,0.013577399673896364
102,0.012384213433191136
103,0.012067734519715241
104,0.011502187100034499
105,0.012690095699257562
106,0.014023440099785133
107,0.007052568155667512
108,0.006903404766805061
109,0.012341893862646008
110,0.013159639175061766
111,0.0124889729830008
112,0.010955696728183296
113,0.012332127514943385
114,0.01217036870759039
115,0.01151032766457013
116,0.012489350764289763
117,0.011523379240704443
118,0.012132200108559525
119,0.013004957865200013
120,0.012278333092268882
121,0.011852650597944537
122,0.012489552649637132
123,0.012624159735393827
124,-0.0005989482045119269
125,0.012455272068010824
126,0.01243403095647976
127,0.013030013753621495
128,0.014556790294785389
129,0.0015175250609045776
130,0.012088186986761533
131,0.0125859584739933
132,0.010232166319490628
133,0.012265763555219076
134,0.006874450020830872
135,0.01058258072433702
136,0.012491111855203851
137,-0.001166380261273694
138,0.013220155334204611
139,0.012889360436559834
140,0.012712103305832737
141,0.011947539574760193
142,0.002862396348347588
143,0.012898226731465547
144,0.013117272180754433
145,0.01447983782169311
146,0.013559232768606612
147,0.013313756930178949
148,0.012126351258360145
149,0.012150324231494654
150,0.012339305400105619
151,0.012547538575398172
152,0.012391488673114856
153,0.017867933773641563
154,0.012547117289565098
155,0.01215260086285374
156,0.01307545099630176
157,0.014331891730870754
158,0.013156551029242102
159,0.012193482468366674
160,0.012499471632253512
161,0.01325058784938742
162,0.011927076304007312
163,0.011723509387696984
164,0.01231880237783677
165,0.014092459881908876
166,0.012453386281777515
167,-0.004297429971946846
168,0.01385325408988387
169,0.000624980533540117
170,0.013052084074361241
171,0.012152703457505914
172,0.01239853941606433
173,0.012649459220375782
174,0.013118875988269399
175,0.012640296674919001
176,0.012493802873072913
177,0.012282414434510669
178,0.012896817440176686
179,0.015209081630126462
180,0.01252874696550295
181,0.012105242028382585
182,0.011959060753690161
183,0.012042551119193015
184,0.01234687875493609
185,0.012174350439182014
186,0.012745577953499157
187,0.01328667283228017
188,0.012662536481124038
189,0.01321208483095925
190,0.012934572896828518
191,0.005312807197496684
192,0.012374617699369282
193,0.01199243690954803
194,0.012058478998989292
195,0.011569964798340864
196,0.008548309858999188
197,-0.0017063505359380888
198,0.0159638872658949
199,0.014304828295997819
200,0.014544675769641807
201,0.04139696761740294
202,0.007985781173829318
203,-0.0037374272205240415
204,0.0038510129431077035
205,-0.007226735987835728
206,0.005246488504866434
207,0.009385634987830129
208,0.014036409342898779
209,0.0023369409410874823
210,0.013397701440882167
211,-0.014396760119500874
212,-0.009934131988479146
213,-0.007983339783416983
214,0.009847817239698147
215,-0.02292762669224389
216,0.013748468667350333
217,-0.0012342053065864684
218,0.013860899419953835
219,-0.023429603726146567
220,-0.004753859780201921
221,-0.0024141874825256504
222,0.006526741059937604
223,-0.022978510445722862
224,0.004254672562270625
225,-0.0022015092882430314
226,0.004271693123416475
227,0.0008938699701270701
228,0.006264297678716776
229,0.014204891115692272
230,-0.010939039545767833
231,-0.001301321937378178
232,0.004077561048895882
233,0.01421675928123299
234,0.014016220048573346
235,-0.006170542935490057
236,-0.0011736563035784672
237,0.009714948925967887
238,-0.018817870578723
239,-0.010241354580459364
240,-0.004809090982220236
241,-0.0036598479799049787
242,0.01012754918469131
243,-0.0019157060448171384
244,-0.008240000355851627
245,0.005600100255136147
246,-0.011417571234974923
247,0.011987173822558738
248,0.0005479439659658224
249,0.007918736229838954
250,0.0011150712431751797
251,0.02183675947824555
252,0.010509336327620808
253,-0.018623320925185767
254,-0.012085405581505193
255,-0.02259926677345766
256,0.0030768974454677698
257,0.014416024412757586
258,-0.022263020353345927
259,0.009273341891414927
260,0.0014056486544590915
261,-0.018099194836037218
262,0.0013076108765504363
263,-0.00363012594792879
264,-0.00147626837572731
265,0.018430439941122752
266,0.012974924429661576
267,0.01539014464773899
268,0.013209247477794199
269,0.012861302750234317
270,0.012819191102150901
271,0.01473875688291675
272,0.01513760929007904
273,0.012858813996505257
274,0.01375319777580514
275,0.014495079367158182
276,0.013446208638831916
277,0.020592670154743982
278,0.012759312088206753
279,0.012782514449324347
280,0.012855222238147735
281,0.010891446950071977
282,0.0006510062014961376
283,-0.01221428302811323
284,0.01032749021481145
285,0.014920680600156815
286,0.005207788440332607
287,0.01559509254221065
288,0.008751974664787643
289,0.006004564218806086
290,-0.008804584303020589
291,-0.007691590947737173
292,0.01644666949608184
293,0.012147776605623776
294,0.006985787416168853
295,0.007247640103511388
296,0.006409200343287761
297,0.005188617897963479
298,0.007215969669277126
299,0.0029952934013344258
300,0.006310547757515803
301,0.006257019896832906
302,0.006861502526828032
303,0.007033905902843456
304,0.005354388263043279
305,-0.008304805816102559
306,0.006165289693669983
307,0.0009304762640677646
308,0.005924329182300326
309,-0.006083369405239626
310,-0.011396422004226643
311,0.0029417234627482775
312,0.009635499170944703
313,0.0031530822013310107
314,0.008763097600271334
315,0.005655815827254349
316,0.014114763945410252
317,0.005675211387095889
318,0.009368559865071775
319,0.006376691244756077
320,0.008920516785415451
321,0.00986087082950339
322,0.011129461536409339
323,0.009920963889329313
324,0.011374568286720321
325,-0.007072520899112322
326,0.014141780955285304
327,0.005635578957400999
328,0.010871975659346547
329,0.009228274581887066
330,0.014115875393912916
331,0.007255737622047818
332,0.005719907546081089
333,0.009647394057140804
334,0.015215001764802673
335,0.005496510253314251
336,0.01427464441175086
337,0.006901444549511562
338,0.005893284044119881
339,0.014127021279335378
340,0.014243208801413467
341,0.005699940461090894
342,0.010516417942554507
343,0.0062947330973077385
344,0.015433688632051619
345,0.007040176647999624
346,0.014310783851225889
347,0.009100917558260735
348,0.006212924707416675
349,0.009156836946251763
350,0.01426055160987339
351,0.012101794419229307
352,0.010974206977378014
353,-0.00044291058714525665
354,0.009661207340558092
355,0.0018413620685886728
356,0.012362592944634722
357,0.006918131157972349
358,0.006346138625125084
359,0.007279954046508725
360,0.014169735451434302
361,0.00948534023942615
362,0.006687414527594012
363,0.014481431506171155
364,0.006389310476835186
365,0.006389606977437759
366,0.014900535089600535
367,0.010168867795834431
368,0.010378146152172505
369,0.01017348226923781
370,0.0022015157545036386
371,0.010096855753764565
372,0.010522558336454298
373,0.0014153819104078885
374,0.0007007099679948651
375,0.010325308946484375
376,0.010702930733093795
377,0.010794969310739432
378,0.010169792129937889
379,0.011792682201118091
380,0.008612187483142165
381,0.0032528502747115598
382,0.0039047519251806124
383,0.006261604851637901
384,0.010708644151086034
385,0.010211822683931362
386,0.010479263432760032
387,0.00898630349055537
388,0.004847924606371757
389,0.010263111223906817
390,0.01026163398066496
391,0.0055439575937350225
392,0.002223682710258994
393,0.010862095109925425
394,0.015586321505461468
395,0.00916199692466382
396,0.0017163704005907093
397,0.010575156704928377
398,0.006724208513289022
399,0.006438453631387962
400,0.014754589506824602
401,0.010067316356301063
402,0.00011516631174929051
403,0.014515397747055526
404,0.009883678732344517
405,0.010529391532609164
406,0.009121094236708389
407,0.010373903523408574
408,0.010617436391691751
409,0.010444142289490414
410,0.010478957457257012
411,0.010842275206892212
412,0.00909061345287867
413,0.01177460099658165
414,0.011144715373345375
415,0.012709648030151474
416,0.010634769175619764
417,0.010874155277191462
418,0.006595996881629104
419,0.010491330095304847
420,0.012768095930763215
421,0.010291600123258303
422,0.00998082179703472
423,0.009324751839906088
424,0.007864842619617977
425,0.0068469986710988995
426,0.010905827324410377
427,0.010867555401324959
428,0.009381757444567056
429,0.0057748476025758265
430,0.000644705135109688
431,0.010773089940069959
432,0.01051566393307809
433,0.010636327766653027
434,0.009918566498915262
435,0.0024718603205813004
436,0.010752905106027761
437,0.009635045608218287
438,0.008628434495520984
439,0.01074894283483862
440,0.011459361302012434
441,0.011049644880735211
442,0.010435140117478842
443,0.0073734077285282605
444,0.010521697765281418
445,0.002778424138902701
446,0.010052160296204019
447,0.0034809183291420014
448,0.011390085623310937
449,0.010944835453928978
450,0.011153191140187533
451,0.011712757420131897
452,0.005151142032231
453,0.013517771952511807
454,0.017343830572089276
455,0.013130839868528532
456,0.020274356552753416
457,0.011373926997916693
458,0.006209827425147949
459,0.019779539244024095
460,0.011457683175684307
461,0.002895726694708822
462,0.013358055040087647
463,0.011773395356427342
464,0.005743625971037982
465,0.004080357808943572
466,-0.006058174921275066
467,0.01837307791742492
468,0.015940137250630784
469,0.010539966654355677
470,0.003429579348602906
471,0.011554235778011561
472,0.010077157670994001
473,0.01147902716465356
474,0.012124688962931354
475,0.008287603703029145
476,0.007402734466624501
477,0.005466852341645877
478,0.011816507790693752
479,-0.006067399674097376
480,0.009646061043891582
481,0.009603790297336936
482,0.005703683544901583
483,0.005620000305043817
484,0.010438053301820377
485,0.017023730527640883
486,0.002129415488533551
487,0.01194331582823485
488,0.011749001519810568
489,0.001132170058113749
490,0.01280973277903244
491,0.005833114221526493
492,0.011822179004746644
493,-0.0041010350754998315
494,0.015440656565314091
495,0.004523082922268615
496,0.012904261541714663
497,0.020143508357906927
498,0.015061648384617455
499,0.01121372677393674
500,0.006813535453853063
501,0.005721556311544214
502,0.01683756893572105
503,0.01179859500009281
504,0.004284087592529713
505,0.006003530045764104
506,0.005136443206507463
507,0.016693321960811216
508,0.010234491960646635
509,0.016742280375906683
510,0.012361967549225306
511,0.01683867107737912
512,0.017619867860892285
513,0.013804878616126398
514,0.010573209108611436
515,0.02400634537458723
516,0.01769751314512868
517,0.003095436794913044
518,0.01683035548851507
519,0.011317069007603013
520,0.01783410902538358
521,0.018610996307907326
522,0.01684338936812639
523,0.015614629995809327
524,0.010678448069858943
525,0.01045373192735107
526,0.011323303793353579
527,0.014164277048642846
528,0.01800262267694074
529,0.018334193466733983
530,0.0064138392971060795
531,0.005979465168653691
532,0.014867710821879272
533,0.009046548696990448
534,-0.0011870216226819252
