,entmun,x,y,z,xm3,xm2,xm1,x0,x1,x2,x3,ym3,ym2,ym1,y0,y1,y2,y3,zm3,zm2,zm1,z0,z1,z2,z3
2347,31057,0.0808967744545028,0.32938839593556035,0.15318476992279603,0.0,0.0,0.1742671009771987,0.5789902280130294,0.7654723127035831,0.8424267100977199,0.8925081433224755,0.019136807817589578,0.06026058631921824,0.18892508143322476,0.38273615635179153,0.632328990228013,0.9201954397394136,0.9804560260586319,0.00040716612377850165,0.013029315960912053,0.08631921824104234,0.2768729641693811,0.6775244299674267,0.9356677524429967,0.9592833876221498
2348,31058,0.12029472384262141,0.2815310182792732,0.12159777824468991,0.0,0.04682410423452769,0.5138436482084691,0.7312703583061889,0.8314332247557004,0.8835504885993485,0.9177524429967426,0.008957654723127036,0.019543973941368076,0.06311074918566775,0.1982899022801303,0.3961726384364821,0.6449511400651465,0.9315960912052117,0.0,0.0028501628664495114,0.030944625407166124,0.12907166123778502,0.4030944625407166,0.8623778501628665,0.9454397394136808
2349,31059,0.29677340085468634,0.0069060152616184315,0.7967725972349085,0.7980456026058632,0.863599348534202,0.9047231270358306,0.9271172638436482,0.9425895765472313,0.9531758957654723,0.9625407166123778,0.0,0.0,0.0,0.00040716612377850165,0.0016286644951140066,0.004478827361563518,0.011400651465798045,0.9947068403908795,0.995928338762215,0.9971498371335505,0.9979641693811075,0.9987785016286646,0.999185667752443,0.999185667752443
2350,31060,0.02984104397331246,0.4098904835082495,0.20884786187366505,0.0,0.0,0.0,0.15838762214983712,0.5724755700325733,0.760586319218241,0.8412052117263844,0.12825732899022801,0.2988599348534202,0.5313517915309446,0.8041530944625407,0.9780130293159609,0.9824918566775245,0.9873778501628665,0.017915309446254073,0.09771986970684039,0.31799674267100975,0.7316775244299675,0.9389250814332247,0.9613192182410424,0.9727198697068404
2351,31061,0.07092768130189081,0.3017267255515969,0.38841973664279333,0.0,0.0,0.05252442996742671,0.5179153094462541,0.7333061889250815,0.8322475570032574,0.884771986970684,0.010993485342019544,0.026465798045602607,0.10423452768729642,0.2671009771986971,0.49022801302931596,0.755700325732899,0.9763843648208469,0.9173452768729642,0.9543973941368078,0.9698697068403909,0.9763843648208469,0.9820846905537459,0.9853420195439739,0.989413680781759
2352,31062,0.051481116952480796,0.3768068511178592,0.18299428402765178,0.0,0.0,0.00040716612377850165,0.3729641693811075,0.6726384364820847,0.8029315960912052,0.8672638436482085,0.05781758957654723,0.1783387622149837,0.3713355048859935,0.6140065146579805,0.9055374592833876,0.9796416938110749,0.9845276872964169,0.004071661237785016,0.05171009771986971,0.18566775244299674,0.4828990228013029,0.9079804560260586,0.9523615635179153,0.9682410423452769
2353,31063,0.04426798343030176,0.37473478125187915,0.18334473141192342,0.0,0.0,0.0,0.31107491856677527,0.6437296416938111,0.7931596091205212,0.8603420195439739,0.05415309446254072,0.17304560260586319,0.36197068403908794,0.6078990228013029,0.8929153094462541,0.9792345276872965,0.9845276872964169,0.004071661237785016,0.05211726384364821,0.18729641693811075,0.48615635179153094,0.9079804560260586,0.9523615635179153,0.9682410423452769
2354,31064,0.02901523314061334,0.4228082287035671,0.21153694015694813,0.0,0.0,0.0,0.1486156351791531,0.5675895765472313,0.75814332247557,0.8407980456026058,0.16734527687296416,0.3513843648208469,0.5973127035830619,0.8794788273615635,0.9792345276872965,0.9837133550488599,0.989413680781759,0.018729641693811076,0.10301302931596092,0.33672638436482083,0.761400651465798,0.9401465798045603,0.9617263843648208,0.9731270358306189
2355,31065,0.06499082822431157,0.3023974284796516,0.37133769307967257,0.0,0.0,0.010993485342019544,0.4796416938110749,0.7170195439739414,0.8241042345276873,0.8794788273615635,0.010993485342019544,0.026465798045602607,0.10627035830618893,0.2703583061889251,0.494299674267101,0.758957654723127,0.9763843648208469,0.8595276872964169,0.9454397394136808,0.9645765472312704,0.9735342019543974,0.9812703583061889,0.9845276872964169,0.9890065146579805
2356,31066,0.06813268700351419,0.3925721065675788,0.18942070462041538,0.0,0.0,0.02728013029315961,0.499185667752443,0.7255700325732899,0.8289902280130294,0.8819218241042345,0.08184039087947882,0.23371335504885993,0.44421824104234525,0.7019543973941368,0.9653908794788274,0.9816775244299675,0.9865635179153095,0.0061074918566775245,0.06066775244299674,0.20928338762214985,0.5447882736156352,0.9181596091205212,0.9548045602605864,0.9698697068403909
2357,31067,0.05662084300182029,0.3636315394433174,0.16841220716699754,0.0,0.0,0.00040716612377850165,0.4149022801302932,0.6950325732899023,0.8098534201954397,0.872557003257329,0.03664495114006515,0.14006514657980457,0.3135179153094462,0.5500814332247557,0.8273615635179153,0.9784201954397395,0.9828990228013029,0.0016286644951140066,0.02768729641693811,0.11929967426710097,0.379885993485342,0.8399837133550488,0.9442182410423453,0.9641693811074918
2358,31068,0.06414949197980302,0.31288063162095564,0.30239519919687624,0.0,0.0,0.009364820846905538,0.4751628664495114,0.7137622149837134,0.8216612377850163,0.879071661237785,0.013436482084690555,0.035423452768729644,0.13680781758957655,0.30985342019543977,0.5468241042345277,0.8249185667752443,0.9784201954397395,0.2744299674267101,0.6718241042345277,0.9352605863192183,0.9588762214983714,0.9719055374592834,0.9792345276872965,0.9828990228013029
2359,31069,0.05390881211460597,0.36348355503001306,0.17699545298706562,0.0,0.0,0.00040716612377850165,0.3937296416938111,0.6840390879478827,0.8070032573289903,0.869299674267101,0.03623778501628665,0.13843648208469056,0.3127035830618892,0.5492671009771987,0.8269543973941368,0.9784201954397395,0.9828990228013029,0.003257328990228013,0.03908794788273615,0.15431596091205213,0.44218241042345274,0.8908794788273615,0.9495114006514658,0.9674267100977199
2360,31070,0.06475791084612693,0.3520672738312558,0.16824233366981184,0.0,0.0,0.010586319218241042,0.4776058631921824,0.7166123778501629,0.8232899022801303,0.8794788273615635,0.026465798045602607,0.10504885993485343,0.2687296416938111,0.49226384364820847,0.756514657980456,0.9763843648208469,0.9816775244299675,0.0016286644951140066,0.02768729641693811,0.11848534201954397,0.3786644951140065,0.8375407166123778,0.9442182410423453,0.9641693811074918
