,entmun,firmgrowthclasspred,popgrowthclasspred,firmgrowthclasspred1620,popgrowthclasspred1620,y1,y2,resfirms,respop
1953,26067,0,0,0,0,0,0,0,0
1954,26068,0,0,0,0,0,0,0,0
1955,26069,0,0,0,0,0,0,0,0
1956,26070,1,1,1,0,0,1,1,0
1957,26071,0,0,1,1,0,0,0,0
1958,26072,0,0,1,1,1,0,-1,0
1959,27001,1,1,1,1,0,1,1,0
1960,27002,1,1,1,1,1,0,0,1
1961,27003,1,1,1,1,1,1,0,0
1962,27004,1,1,1,1,1,1,0,0
1963,27005,1,1,1,1,1,0,0,1
1964,27006,1,1,1,1,1,1,0,0
1965,27007,1,0,1,1,0,0,1,0
1966,27008,1,1,1,1,1,1,0,0
1967,27009,1,1,1,1,0,1,1,0
1968,27010,1,1,1,1,1,0,0,1
1969,27011,0,0,1,1,0,0,0,0
1970,27012,1,1,1,1,1,1,0,0
1971,27013,1,1,1,1,1,1,0,0
1972,27014,1,1,1,1,1,1,0,0
1973,27015,1,1,1,1,1,1,0,0
1974,27016,1,1,1,1,1,1,0,0
1975,27017,1,1,1,1,0,0,1,1
1976,28001,0,0,1,1,1,0,-1,0
1977,28002,0,0,1,1,0,0,0,0
1978,28003,1,1,1,1,1,1,0,0
1979,28004,0,0,0,0,0,1,0,-1
1980,28005,0,0,0,0,0,0,0,0
1981,28006,0,0,0,0,0,1,0,-1
1982,28007,0,0,1,1,0,1,0,-1
1983,28008,0,0,0,0,0,0,0,0
1984,28009,1,1,1,1,0,1,1,0
1985,28010,0,0,0,0,0,0,0,0
1986,28011,0,0,0,1,0,0,0,0
1987,28012,1,0,1,1,0,0,1,0
1988,28013,0,0,0,0,1,0,-1,0
1989,28014,0,0,0,0,0,0,0,0
1990,28015,1,0,1,1,0,0,1,0
1991,28016,1,0,1,1,1,0,0,0
1992,28017,0,0,1,1,1,0,-1,0
1993,28018,0,0,1,1,0,0,0,0
1994,28019,0,0,1,1,0,0,0,0
1995,28020,0,0,0,0,0,0,0,0
1996,28021,1,1,1,1,1,0,0,1
1997,28022,1,1,1,1,0,1,1,0
1998,28023,0,0,0,0,0,0,0,0
1999,28024,0,0,0,0,0,0,0,0
2000,28025,1,0,1,1,0,0,1,0
2001,28026,0,0,0,0,0,0,0,0
2002,28027,1,1,1,1,1,0,0,1
2003,28028,0,0,0,0,0,1,0,-1
2004,28029,0,0,1,1,0,1,0,-1
2005,28030,1,0,1,1,0,0,1,0
2006,28031,0,0,0,0,0,0,0,0
2007,28032,1,1,1,1,1,1,0,0
2008,28033,1,1,1,1,1,1,0,0
2009,28034,0,0,0,1,1,0,-1,0
2010,28035,1,1,1,1,0,0,1,1
2011,28036,0,0,0,0,0,0,0,0
2012,28037,0,0,1,1,0,0,0,0
2013,28038,1,1,1,1,0,1,1,0
2014,28039,1,0,1,1,1,1,0,-1
2015,28040,1,1,1,1,1,0,0,1
2016,28041,1,1,1,1,1,1,0,0
2017,28042,0,0,0,0,1,0,-1,0
2018,28043,1,0,1,1,0,0,1,0
2019,29001,0,1,1,1,0,1,0,0
2020,29002,1,1,1,1,1,1,0,0
2021,29003,0,1,0,0,1,1,-1,0
2022,29004,0,1,1,1,0,1,0,0
2023,29005,1,1,1,1,1,0,0,1
