,entmun,x,y,z,x16,y16,z16,dx,dy,dz
1486,20489,-4.524935566021623,2.3183083592392704,0.7938387564038388,-4.313208179733147,2.001676092918066,0.6160737588860488,0.05293184657211891,-0.07915806658030111,-0.04444124937944752
1487,20490,-4.205032363328426,2.1567074750114554,0.6860891641771928,-4.181637876500668,2.006453900418297,0.6132763191578734,0.005848621706939561,-0.037563393648289645,-0.01820321125482985
1488,20491,-4.235825287743116,2.1445677603822286,0.6893200364999339,-3.747877242099556,2.494468597995552,0.7149357120451523,0.12198701141088997,0.08747520940333087,0.006403918886304594
1489,20492,-4.045928430738379,1.9601171403076123,0.5970207036121857,-4.028419867972894,1.6565340151690229,0.43844874923034527,0.004377140691371295,-0.07589578128464736,-0.039642988595460116
1490,20493,-4.567039606517699,2.5311641966375835,0.8999789156615257,-4.41737547229844,2.313931088203787,0.8051029729506224,0.0374160335548146,-0.0543082771084491,-0.023718985677725818
1491,20494,-4.14555606253776,2.155880214536468,0.7703296718643796,-4.079516483774699,2.0143058900349504,0.678501559155216,0.016509894690765137,-0.03539358112537938,-0.022957028177290895
1492,20495,-4.103725613834317,1.7219791540367133,0.8457568383513909,-3.710216727019947,1.9180477150195578,0.5197514558937408,0.09837722170359264,0.04901714024571113,-0.08150134561441252
1493,20496,-4.2251554932784465,2.039278751721627,0.6641181800398084,-4.144823832006487,1.8837000302882294,0.567504787809642,0.02008291531798978,-0.03889468035834942,-0.0241533480575416
1494,20497,-4.250773093686056,2.1175497897588613,0.6845059458855174,-3.6565737756801147,1.2819255940892473,0.14380991205805838,0.14854982950148532,-0.2089060489174035,-0.13517400845686475
1495,20498,-4.350099361078397,2.162609247116404,0.7216352364928211,-4.3574826295391516,1.9771500107427877,0.6103704759742536,-0.0018458171151887193,-0.04636480909340407,-0.02781619012964187
1496,20499,-2.6412463224920013,0.5126024745602573,-0.16906750062477618,-2.7428921516968994,0.842502879647982,-0.03787876325809874,-0.025411457301224516,0.08247510127193117,0.03279718434166936
1497,20500,-3.0618208799040425,0.5930595378589666,-0.13258014821090414,-3.0093949777296296,0.5020543347068919,-0.1757165748906222,0.013106475543603224,-0.02275130078801868,-0.010784106669929516
1498,20501,-4.307832300047532,2.1747264759319735,0.7193428456354344,-4.299829716353208,1.9227690471714136,0.5994279554329578,0.002000645923581068,-0.06298935719013998,-0.029978722550619147
1499,20502,-3.819268153743885,1.5656955639366712,0.3720892214710777,-3.6307695932249473,1.2007988635041134,0.21567955170496228,0.047124640129734385,-0.09122417510813946,-0.039102417441528856
1500,20503,-4.168745864384247,1.9419634593042623,0.620327081179811,-4.248892302827479,1.8840386177323967,0.5186031119534639,-0.020036609610808,-0.014481210392966404,-0.02543099230658677
1501,20504,-3.9716243554789568,1.6348082358125933,0.432867790312021,-3.911483234913216,1.6719772474767227,0.4034675352988997,0.015035280141435181,0.009292252916032362,-0.007350063753280317
1502,20505,-2.7239955710519097,0.7585899276179576,-0.16222539459240634,-1.3566949065272518,1.7481134425434768,0.07875459673181993,0.3418251661311645,0.2473808787313798,0.060244997831056565
1503,20506,-3.756984393943769,1.5390200708736865,0.3592138770652028,-4.3489779586579465,2.2457968976593468,0.6957547571899793,-0.1479983911785444,0.17669420669641506,0.08413522003119411
1504,20507,-3.8423959335491755,1.7110175111214787,0.3905143366312914,-3.718827542654368,1.2857159370241793,0.2323621963799515,0.030892097723701828,-0.10632539352432485,-0.03953803506283498
1505,20508,-3.8358196774475504,1.7204990315340465,0.45265720929365144,-4.110597501374876,1.7277398447970076,0.48567476467538967,-0.06869445598183144,0.0018102033157402775,0.008254388845434557
1506,20509,-3.525365632775883,1.28619747026293,0.9555783289829219,-3.4302745183452754,0.9594010990000214,0.0326519596101491,0.023772778607651923,-0.08169909281572715,-0.2307315923431932
1507,20510,-4.411668455667313,2.3823089461965603,0.8431540363379371,-4.564193911216052,2.333188330773323,0.8339920492610795,-0.038131363887184744,-0.012280153855809273,-0.0022904967692143896
1508,20511,-4.09742705914841,2.1244289490332786,0.7243592876784122,-3.9653733717254247,1.7386941011166885,0.546968832494835,0.033013421855746405,-0.09643371197914752,-0.0443476137958943
1509,20512,-4.159838916319511,1.8879404863494105,0.82779268453462,-4.6925204809185965,2.4672953071116193,0.8473750340716723,-0.13317039114977147,0.1448387051905522,0.004895587384263073
1510,20513,-2.7259612376443907,0.2192223803438627,0.4445423067198833,-2.4926100478654507,-0.04972218338155089,-0.463460580224493,0.058337797444734996,-0.0672361409313534,-0.2270007217360941
1511,20514,-4.505835739610585,2.4628456649846386,0.9067626405143777,-4.605898536061363,2.466864501534834,0.8876478339120604,-0.025015699112694634,0.0010047091375487982,-0.004778701650579337
1512,20515,4.487250740269348,-4.679962730885247,1.0080140074909973,5.586479130470939,-2.7146689525785384,-1.6967887340696015,0.2748070975503978,0.4913234445766772,-0.6762006853901497
1513,20516,-3.9623133779373885,1.7076548337285573,0.46423384864990197,-3.2504263359196672,0.6658405703213807,-0.08150665568021191,0.1779717605044303,-0.26045356585179413,-0.13643512608252847
1514,20517,-3.426307705416034,1.1255716004643739,0.774877001212007,-3.543100086867602,0.9752625112552485,0.3559038168613502,-0.029198095362891974,-0.037577272302281334,-0.1047432960876642
1515,20518,-4.677763700154185,2.7118810712911654,1.0231507103265547,-4.7719725189172815,2.649630300870621,0.9949206036372822,-0.023552204690774126,-0.015562692605136097,-0.007057526672318126
1516,20519,-3.2328272981056414,1.0518240631287157,0.04038784345307153,-3.8792668219848525,1.417536869488774,0.26692538138859867,-0.16160988096980278,0.09142820159001458,0.056634384483881785
1517,20520,-2.5197133340209152,-0.060478653770418965,-0.4622557636770401,-2.2728333084975443,-0.05526691355392917,-0.5345513305059613,0.06172000638084274,0.0013029350541224494,-0.018073891707230297
1518,20521,-4.720129636207637,2.7878519446191707,1.0862538025509438,-4.7320604738211625,2.66985964303395,1.014167620473401,-0.0029827094033814117,-0.029498075396305223,-0.01802154551938573
1519,20522,-3.4447907358592613,1.2323638070500138,0.20849298985845294,-4.0199957511158315,1.5083583867962114,0.3519833847153081,-0.14380125381414255,0.06899864493654939,0.03587259871421379
1520,20523,-3.589529416481216,1.266395702754192,0.2616481942502566,-3.6007107306870654,1.276716978480622,0.23257672234801582,-0.0027953285514623616,0.0025803189316074837,-0.007267867975560192
