,entmun,xpop,ypop,ptot10cum,xpopm3,xpopm2,xpopm1,xpop0,xpop1,xpop2,xpop3,ypopm3,ypopm2,ypopm1,ypop0,ypop1,ypop2,ypop3,cumpm3,cumpm2,cumpm1,cump0,cump1,cump2,cump3
0,1001,0.35615193249689914,0.39559640797605494,0.8093952768400318,0.8013029315960912,0.8566775244299675,0.9010586319218241,0.9279315960912052,0.9491042345276873,0.9609120521172638,0.9698697068403909,0.03745928338762215,0.037866449511400654,0.061074918566775244,0.36848534201954397,0.6095276872964169,0.7793159609120521,0.879885993485342,0.9816775244299675,0.9857491856677525,0.989413680781759,0.9922638436482085,0.995114006514658,0.9971498371335505,0.9987785016286646
1,1002,0.1821493719368105,0.46856067058923406,0.2276554772585157,0.13843648208469056,0.4218241042345277,0.6359934853420195,0.7630293159609121,0.8330618892508144,0.8851791530944625,0.9181596091205212,0.046009771986970684,0.15798045602605862,0.499185667752443,0.6950325732899023,0.8277687296416938,0.9149022801302932,0.9670195439739414,0.5708469055374593,0.6852605863192183,0.7638436482084691,0.8216612377850163,0.8648208469055375,0.8969869706840391,0.9218241042345277
2,1003,0.21019369246610334,0.6487737703085847,0.2538060644521909,0.28705211726384366,0.5582247557003257,0.7129478827361564,0.8094462540716613,0.8611563517915309,0.9043159609120521,0.9303745928338762,0.7894951140065146,0.8851791530944625,0.9491042345276873,0.9804560260586319,0.9938925081433225,0.9971498371335505,0.9987785016286646,0.636400651465798,0.7300488599348535,0.7964169381107492,0.8456840390879479,0.8827361563517915,0.9108306188925082,0.9320032573289903
3,1004,0.14783591963722878,0.49424229640570105,0.06914767509333236,0.0,0.22394136807817588,0.4963355048859935,0.6872964169381107,0.7870521172638436,0.8473127035830619,0.8973941368078175,0.05985342019543974,0.36237785016286644,0.6030130293159609,0.7719869706840391,0.8778501628664495,0.9450325732899023,0.9776058631921825,0.0,0.0,0.31799674267100975,0.5460097719869706,0.6689739413680782,0.752442996742671,0.8131107491856677
4,1005,0.2575014997629228,0.4357815160147495,0.36662062788260746,0.5451954397394136,0.7064332247557004,0.8041530944625407,0.8570846905537459,0.9022801302931596,0.9287459283387622,0.9491042345276873,0.03745928338762215,0.05456026058631922,0.30822475570032576,0.5712540716612378,0.7520358306188925,0.864413680781759,0.9311889250814332,0.8102605863192183,0.8562703583061889,0.8904723127035831,0.9165309446254072,0.9364820846905537,0.9515472312703583,0.9629478827361564
5,1006,0.17837709866932924,0.45504234762227935,0.21248719416036355,0.12133550488599348,0.4010586319218241,0.621742671009772,0.756514657980456,0.8298045602605864,0.8811074918566775,0.9144951140065146,0.039902280130293157,0.07776872964169382,0.4258957654723127,0.6433224755700325,0.8008957654723127,0.8949511400651465,0.9535830618892508,0.5252442996742671,0.6551302931596091,0.7430781758957655,0.8057817589576547,0.8530130293159609,0.8880293159609121,0.9149022801302932
6,1007,0.1322885425530158,0.4827373825746917,0.23995283098018635,0.0,0.13925081433224756,0.4218241042345277,0.6376221498371335,0.7638436482084691,0.8330618892508144,0.885586319218241,0.05171009771986971,0.28664495114006516,0.5582247557003257,0.741042345276873,0.8595276872964169,0.9291530944625407,0.9727198697068404,0.6034201954397395,0.7072475570032574,0.7797231270358306,0.8334690553745928,0.873371335504886,0.9035016286644951,0.9267100977198697
7,1008,0.09192996819928123,0.5913885281992832,0.0316000119106493,0.0,0.0,0.18688925081433225,0.46986970684039087,0.6681596091205212,0.7772801302931596,0.8432410423452769,0.5907980456026058,0.7658794788273615,0.8729641693811075,0.9409609120521173,0.9755700325732899,0.9930781758957655,0.9971498371335505,0.0,0.0,0.0,0.3978013029315961,0.5818403908794788,0.6925895765472313,0.7691368078175895
8,1009,0.10337491377452503,0.5226418530648138,0.09995116010658874,0.0,0.0016286644951140066,0.2512214983713355,0.5219869706840391,0.6991042345276873,0.7947882736156352,0.8526058631921825,0.1995114006514658,0.5223941368078175,0.7137622149837134,0.8383550488599348,0.9185667752442996,0.9682410423452769,0.9890065146579805,0.0,0.0,0.4808631921824104,0.627442996742671,0.7235342019543974,0.7919381107491856,0.8424267100977199
9,1010,0.114485526873129,0.5044260712350168,0.09431408480124148,0.0,0.04315960912052117,0.3118892508143323,0.5708469055374593,0.7259771986970684,0.8122964169381107,0.869299674267101,0.07614006514657981,0.4214169381107492,0.6408794788273615,0.7996742671009772,0.8937296416938111,0.9531758957654723,0.9837133550488599,0.0,0.0,0.4580618892508143,0.6140065146579805,0.7145765472312704,0.7854234527687296,0.8375407166123778
