,firmgrowthregpred
0,0.7341785967160905
1,0.147814618641323
2,0.1649599624711457
3,0.06231491389291896
4,0.5047333899901307
5,0.16960142676342727
6,0.16577771403069597
7,0.04460356681693973
8,0.06906294927911205
9,0.06588287263381389
10,0.19693189942114472
11,0.8565526022784951
12,1.0841963344464145
13,0.4825232344180789
14,1.057041727547231
15,0.30213052308529
16,0.3630556998630255
17,0.37283254362117957
18,0.6079384524711934
19,0.5173018962656496
20,-0.014958251266296758
21,0.18955750274762345
22,0.612120261149881
23,0.5119091943779082
24,0.3449841346321221
25,0.15743028954993407
26,0.1623761017142668
27,-0.09454219224914945
28,0.09167901567928721
29,0.18483881705599328
30,0.14205652653009884
31,0.12360287763179488
32,0.012211406141951731
33,0.3817882128257475
34,0.09817673910970223
35,0.07936929229171674
36,0.012370651397083161
37,0.12067413419301493
38,0.06685564744038201
39,0.01513901826945014
40,0.16143610854251197
41,0.36527095046870156
42,0.06197946421661739
43,0.012263223822813512
44,0.009429511815699128
45,0.05404721112250179
46,0.011405912952901722
47,0.01232186621823787
48,0.25899436822050764
49,0.3204134535024916
50,0.034456082507125285
51,0.2169474188702651
52,0.030190333852774774
53,0.17584448013785947
54,0.06389188965217657
55,0.21897703979467525
56,0.522620694001825
57,0.014241578899368133
58,0.5114333094178243
59,0.2967656502836956
60,0.012332975876852593
61,0.6236807321206784
62,0.10585482192862959
63,0.14260116625838432
64,0.24574483962238244
65,0.025283661326740935
66,0.731183704422473
67,0.055991224681544806
68,0.023691795268072628
69,0.06945746294130564
70,0.04471780187492486
71,0.5746836848551711
72,0.11567799099281956
73,0.08723982554590731
74,0.1422591176615949
75,0.04896013097308968
76,0.5530682973592141
77,0.047216394931890934
78,0.46906348768176664
79,0.2523953035950544
80,0.08952745644819711
81,0.136048247654558
82,0.03648285602017461
83,0.14299775742305626
84,0.07011463851277255
85,0.09715981545352351
86,0.08055375525801461
87,0.1384569332040765
88,0.1662582208702589
89,0.0321101323995428
90,0.05990174594119793
91,0.1652931341569679
92,0.17951672221262258
93,0.06486340806234077
94,0.17115368622186797
95,0.007913950411355558
96,0.2542458104311046
97,0.050847888810923586
98,0.37984471904022166
99,0.1605426270413355
100,0.11632848393584838
101,0.05699855196859402
102,0.1349888192842079
103,0.059915669223738796
104,0.033475804281079435
105,0.11909569825184049
106,0.24227993132142278
107,0.020795946288481557
108,0.02460828837807391
109,0.18182853366562968
110,0.19790263042113615
111,0.16468198991909994
112,0.03170356353643585
113,0.222185067236033
114,0.06438431835481669
115,0.03368146348032263
116,0.17010181925810075
117,0.0563469775599159
118,0.07128447647767373
119,0.2301177961052258
120,0.2508683193242916
121,0.05811741502556203
122,0.06576336100787082
123,0.08923030401221121
124,0.01895317492603179
125,0.1712386979759441
126,0.06615862472864188
127,0.06886358200749933
128,0.06506889857701918
129,0.021738135274991105
130,0.15664840296237859
131,0.24364237766146613
132,0.03226771747544418
133,0.07873691438077515
134,0.021554823439376706
135,0.05628231675033793
136,0.25118285191572715
137,0.016364303264979
138,0.3452308332226359
139,0.06374776526068054
140,0.23717736567661635
141,0.05402729278378878
142,0.020749258023129193
143,0.19709871928096193
144,0.3314260712156927
145,0.06723719593601417
146,0.058656336869995544
147,0.1490757441903059
148,0.1422135737409784
149,0.06439760141208953
150,0.18235851529010205
151,0.15553760797732888
152,0.05724148985544249
153,0.17232971203044883
154,0.13148104638343344
155,0.07977651031173845
156,0.14479821171280813
157,0.4629481501270485
158,0.15979536811517814
159,0.12769181268469254
160,0.16708707366541983
161,0.055109903388043065
162,0.054206079390227806
163,0.03619303559156941
164,0.06446831324513651
165,0.10825810804827489
166,0.13681696969940899
167,0.013130860838976728
168,0.5265182940182398
169,0.018555849178070984
170,0.07097753689995533
171,0.15491112955226813
172,0.11465902768590189
173,0.1812976567707208
174,0.1913890983295253
175,0.46726950975500686
176,0.029339404386138607
177,0.18904003611716938
178,0.11948109938081726
