,ent,entmun,dS1,dS2,dS3,dS4,dS5,dS6,dS7,dS8,dS9,dE1,dE2,dE3,dE4,dE5,dE6,dE7,dSE,dS1E1,dS1E2,dS1E3,dS1E4,dS1E5,dS1E6,dS1E7,dS2E1,dS2E2,dS2E3,dS2E4,dS2E5,dS2E6,dS2E7,dS3E1,dS3E2,dS3E3,dS3E4,dS3E5,dS3E6,dS3E7,dS4E1,dS4E2,dS4E3,dS4E4,dS4E5,dS4E6,dS4E7,dS5E1,dS5E2,dS5E3,dS5E4,dS5E5,dS5E6,dS5E7,dS6E1,dS6E2,dS6E3,dS6E4,dS6E5,dS6E6,dS6E7,dS7E1,dS7E2,dS7E3,dS7E4,dS7E5,dS7E6,dS7E7,dS8E1,dS8E2,dS8E3,dS8E4,dS8E5,dS8E6,dS8E7,dS9E1,dS9E2,dS9E3,dS9E4,dS9E5,dS9E6,dS9E7,dx,dy,dz
756,15,15101,0.17328679513998632,0.07961343277963373,0.05485632674933294,0.007006463712642352,0.03468757712507875,0.0191350192805837,0.045688872602230424,0.04213485431983943,-0.04731049990963199,0.025265059481730745,0.03251328206204929,-0.04247475919884924,0.04853900361023944,0.19181378817841677,0.0,0.029445758914095954,0.024831391091017174,0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.0,0.04558038919848861,-0.17328679513998632,0.2290726829685388,-0.17328679513998632,0.17328679513998632,0.0,0.0,0.061256077039511414,0.0,-0.1347491251831719,0.0,0.27465307216702756,-0.21182446509680075,-0.04558038919848861,0.00809608576199472,-0.053777844904236316,-0.10769572902311364,0.1732867951399863,0.10136627702704112,0.17328679513998632,0.17328679513998632,0.02930179115889331,0.19962692405444282,-0.07753873207595974,0.17328679513998632,0.0,0.0,0.0,0.0311406806604404,-0.020845402234762833,0.013516805317568936,-0.05578588782855243,0.04558038919848861,0.10136627702704112,0.0,0.04093278312203874,0.19711434009106765,-0.12770640594149768,0.0,0.0,0.17328679513998632,0.0,0.04003970663631229,0.1347491251831719,-0.04558038919848861,0.0,0.27465307216702745,0.0,0.0,-0.08283928398861062,-0.09193119503132918,-0.03853766995681446,0.27465307216702745,0.34657359027997264,0.17328679513998632,0.0,0.5013328875037442,0.30175533381807224,0.13263429807645422
757,15,15102,0.0,-0.27465307216702745,0.0,0.03470911121355402,-0.22907268296853878,-0.06282860707022653,0.034940485593789705,-0.04062973237444367,0.041075762822819106,0.0038760466339913258,0.0,0.06282860707022658,0.0,-0.27465307216702745,0.0,0.17328679513998632,0.004694973662898949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17328679513998632,0.0,-0.17328679513998632,0.0,0.0,0.0,0.0,-0.014289603459986977,0.0,0.0,0.0,0.0,0.0,0.17328679513998632,0.040907355945450696,-0.12770640594149768,0.0,0.0,0.0,0.0,0.0,-0.2746530721670273,0.17328679513998632,0.0,0.0,0.0,0.0,0.0,-0.10136627702704104,0.0,0.05578588782855248,0.0,-0.17328679513998632,0.0,0.0,0.038537669956814735,0.17328679513998632,-0.10136627702704112,0.0,0.0,0.0,0.0,-0.05578588782855254,0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.03853766995681451,-0.10136627702704112,0.34657359027997264,0.0,-0.17328679513998632,0.0,0.0,-0.03844940353030202,0.0027760008390839593,-0.014116133011698725
758,15,15103,0.0,-0.0719205181129452,-0.06383667295221107,-0.011422599562076918,-0.015728456352642306,-0.0463881443438503,0.020387466741027094,-0.009853492135219133,0.09574806306402639,-0.011715664351569233,-0.043415873512710146,0.03251328206204951,0.026340128914456584,-0.13990394698385566,-0.13990394698385566,0.0,-0.012560781207967997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17328679513998632,0.17328679513998632,0.0,0.0,0.0,-0.17328679513998632,0.0,-0.049949046829304455,-0.12770640594149774,-0.17328679513998632,0.0,-0.17328679513998632,-0.17328679513998632,-0.17328679513998632,-0.012779613482255758,0.018526993038430417,0.17328679513998632,0.0,0.17328679513998632,0.0,0.0,-0.02382754495108097,0.12770640594149768,-0.0719205181129452,0.17328679513998632,0.0,0.0,0.0,-0.08159914615811803,-0.06128061450824629,0.12410922157847282,-0.03338284815613085,-0.10136627702704112,-0.17328679513998632,0.0,0.02189951482949626,0.023827544951081192,0.0,0.0,-0.17328679513998632,0.0,0.0,-0.005235793461310756,-0.21182446509680075,-0.029445758914095954,0.0,0.0,0.0,0.17328679513998632,0.22519663633454745,-0.10136627702704126,-0.1013662770270411,0.10136627702704112,-0.10136627702704112,0.0,0.0,-0.08201776659346105,0.13371344197991136,0.13997938533784565
759,15,15104,0.0,0.024003663309897227,-0.018697234788284556,0.006787401170758933,-0.016811993716388862,0.0065827921068211115,0.028747317380299897,0.015310273415610975,-0.1056156711191838,0.010709292459364583,-0.04257606119748436,-0.024389072541561196,0.01043794867005543,0.0022222368543116655,-0.022403039672421965,0.07365062882408857,0.005906117074871986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655910661168726,-0.03853766995681451,0.027806408777555913,0.09193119503132918,0.0,-0.5198603854199589,0.17328679513998632,-0.0026770035681178417,-0.12232985463625701,-0.07731491827408199,-0.034709111213554245,-0.06230394790599625,-0.048936144281523486,0.12311912127444846,0.007953833226955087,-0.029004452532953362,0.019896859479587192,-0.023507237412068838,0.006097863281039562,0.04019330514693831,0.0,-0.00405245780982999,-0.022008337371330677,-0.15556821024332224,-0.1223870563296765,0.0,-0.022742944551431554,0.05909719451605766,-0.0002103491920479872,0.014241706151669309,0.007200497725926347,0.12137695394542525,0.041075762822818995,-0.08707667356705406,0.0,0.03875888443867481,-0.08491934189254025,-0.04075990681112618,0.06642579143325145,0.05840371279537637,0.17328679513998635,0.34657359027997264,0.019313856500195126,-0.061875498786562844,-0.050167673865537665,0.10136627702704104,0.1013662770270411,0.17328679513998632,0.0,-0.22253636294245815,-0.08069334806576256,0.06617313855677043,-0.03665086854796906,0.04853900361023955,-0.1104581880697596,0.0,0.16667141383757136,0.4907038726021111,0.175083023776422
760,15,15105,-0.22907268296853875,-0.27465307216702745,0.09771657717175297,0.007407949401592839,0.05909719451605755,-0.05795040351433112,0.034300280378371184,0.023093330032753823,0.20822728073377594,0.025160881444922012,-0.0519098411945611,0.1013662770270411,0.22907268296853875,0.0,0.0,0.0,0.025064150934912544,-0.2290726829685388,0.0,0.0,0.0,0.0,0.0,0.0,-0.27465307216702745,0.0,0.0,0.0,0.0,0.0,0.0,0.10882951781446126,-0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.005660619187439986,0.0719205181129452,0.0,0.0,0.0,0.0,0.0,0.05909719451605766,0.0,0.0,0.0,0.0,0.0,0.0,-0.07753873207595974,-0.07192051811294509,0.0,0.17328679513998632,0.0,0.0,0.0,0.04176352116579163,-0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.01563008924533338,0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.1884429505940951,0.0,0.27465307216702745,0.17328679513998632,0.0,0.0,0.0,0.052799325665313424,-0.02570940964306976,-0.08364998000846588
761,15,15106,0.2746530721670274,-0.03741909985808434,0.018040157926760614,0.0306036507815568,0.01373923999797566,0.03799320513181148,0.06533146069375251,0.044678674965740406,0.06835980614038539,0.037586804369551974,-0.01240864747475956,0.02046099226079412,0.07058310567613502,0.08546214841439848,0.06372306240719738,0.0694079341495697,0.03523205848171118,0.10136627702704112,0.34657359027997264,0.0,0.0,0.0,0.0,0.0,-0.06501920158997287,0.0,-0.0957480630640265,0.11989327006547168,0.12137695394542514,-0.25290022791962,0.519860385419959,0.026950364450591735,-0.10920390949805991,-0.022182028902171025,-0.02729982299124789,0.03629550246112434,0.03414388375143729,0.033382848156130684,0.03280297790735265,-0.046254491825326705,0.0325298961175462,0.07927398941451846,0.11260412399260766,0.040907355945450474,0.17328679513998646,0.021228706124384544,0.029445758914095732,-0.10565822793263258,-0.10882951781446126,-0.0250208646392458,0.10956373273278874,0.28628307607575093,0.029203772371990233,0.03238351304797593,0.053998692975135265,0.10488746199747578,0.057726389162424896,0.06128061450824629,-0.034940485593789594,0.07224810060139708,-0.012823323596887537,0.0022026574205387117,0.11299628093576453,0.029445758914095843,0.05578588782855248,0.34657359027997264,0.05004521917132543,-0.046935406065822916,-0.09072637342234224,-0.08135560010865694,0.27465307216702745,0.21182446509680075,0.17328679513998632,0.0026399400537502338,0.10437060502804507,0.12618664442240202,0.11126856155080289,0.12681195060452644,0.12311912127444868,-0.01613463028439277,0.9720656946383928,1.090047587932042,0.6238776974906575
762,15,15107,0.0,0.0719205181129452,0.0588285217336163,0.02709200918044541,0.05909719451605755,0.04701305787573484,0.03526964956497647,0.04296256423166489,0.1732867951399864,0.03477820061567938,0.033382848156130684,0.11488308234460998,0.17328679513998632,0.0,0.27465307216702745,-0.17328679513998632,0.037470132656513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.05257385220909039,0.0719205181129452,0.17328679513998632,0.0,0.0,0.0,0.0,0.02833217132675081,-0.12770640594149768,0.05578588782855248,0.0,0.0,0.0,0.0,0.06090552066443755,0.17328679513998632,-0.17328679513998632,0.0,0.0,0.0,0.0,0.0250208646392458,0.04558038919848861,0.11750090731143392,0.0,0.0,0.0,0.0,0.038242336195356774,0.0,0.0,0.0,0.0,0.0,0.0,0.036831178689214594,0.17328679513998632,0.0,0.0,0.0,0.17328679513998632,0.0,0.0,0.0,0.34657359027997264,0.27465307216702745,0.0,0.17328679513998632,-0.17328679513998632,0.2867074258550921,0.06404267788542685,-0.016211659890248586
763,15,15108,0.0,-0.21182446509680086,0.08802544130919188,0.10673001077735611,0.15751161854800055,0.15244139290522352,0.18486781305854594,0.13192591538833565,0.05840371279537637,0.1229971254198865,0.05173017895183052,0.07309699087229837,0.07634541238779546,0.3465735902799726,0.22907268296853875,0.34657359027997264,0.12074980195257679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27465307216702745,-0.17328679513998632,-0.17328679513998632,0.0,0.0,0.0,0.09756523628693259,-0.060290514204221934,-0.1732867951399863,-0.10136627702704112,0.17328679513998632,0.0,0.17328679513998632,0.10839475084861383,-0.03338284815613057,-0.02175284424740742,0.10136627702704112,0.17328679513998632,0.27465307216702745,0.27465307216702745,0.16433951817709014,0.04558038919848861,0.0719205181129452,0.0,0.0,0.0,0.0,0.1559465131906108,0.12996886482147685,0.13714148793720948,0.12137695394542514,0.34657359027997264,0.0,0.0,0.18977628708793515,0.02175284424740742,0.17328679513998632,0.10136627702704112,0.0,0.0,0.0,0.13240647206653477,0.15715216485559336,-0.12770640594149768,0.0,0.10136627702704112,0.17328679513998632,0.0,-0.020010676918384096,0.2290726829685388,0.13990394698385555,0.0,0.0,0.0,0.0,0.4704667050257189,0.16806739256987535,-0.061984287731084886
764,15,15109,-0.10136627702704112,0.03629550246112445,-0.009103951981914271,0.00905835420042811,-0.018922187556387415,0.022108537490654223,0.019858178111860303,0.01687700354890609,-0.10870992919701727,0.010660040698041051,-0.04882017535911487,-0.001783598528468655,-0.006410607653334344,-0.015156155454108866,-0.0246100182033131,0.10882951781446137,0.008088962346993078,-0.17328679513998632,0.17328679513998632,-0.17328679513998632,0.0,0.0,0.0,0.0,0.07462324713899915,0.27465307216702745,-0.3131907421238419,0.17328679513998632,-0.17328679513998632,0.27465307216702745,-0.27465307216702745,0.003937089242034508,-0.10583068137704266,-0.09786971653335619,-0.17328679513998635,-0.10136627702704115,-0.0345375846202044,0.10530336626907577,0.010956187424131958,-0.0790584935950549,0.0026455273326342343,0.020010676918384096,0.06860921142544019,-0.06860921142544019,0.154759802101556,-0.008855707460621032,-0.08496695640558793,-0.1789050091030009,-0.2290726829685388,-0.34657359027997264,0.1732867951399863,0.17328679513998632,0.014863217478367607,0.02890754557382036,0.05201611112177251,0.0283321713267507,-0.060290514204221934,-0.12770640594149768,0.10136627702704112,0.024792508501996657,-0.12311912127444846,0.011630003908723263,-0.0719205181129452,0.0,0.0,0.0,0.01708262205194533,-0.033382848156130684,0.04917757356151353,0.17328679513998632,0.2290726829685388,0.0719205181129452,0.17328679513998632,-0.23249739405807923,0.08621012157293229,0.08411805915530313,0.4864775372638282,0.0628286070702268,0.0,-0.10136627702704112,0.25914110771714904,0.4681123978732447,0.14519995414558515
765,15,15110,-0.23456740964823253,0.1905350130117242,-0.024045980963230518,0.039929518975222456,0.12301989523623402,0.09354202534656242,0.11600460421493453,0.05558500392863164,0.01190701224731372,0.05942853982632479,0.040317036899030656,0.006122755002073932,0.05339352507451478,0.0719205181129452,-0.07961343277963373,0.05578588782855243,0.05568915731854318,-0.1277064059414974,-0.519860385419959,-0.17328679513998632,0.0,0.0,0.0,0.0,0.04558038919848861,0.27465307216702745,0.34657359027997264,0.17328679513998632,0.34657359027997264,-0.27465307216702745,0.0,-0.012257356810079889,-0.23611540221021293,0.0,0.0,0.0,0.0,0.0,0.04332719901811144,-0.044672947185844025,-0.07192051811294531,0.2290726829685388,0.17328679513998632,0.27465307216702745,0.27465307216702745,0.12265572911211775,0.19503963938739377,0.0,0.17328679513998632,-0.17328679513998632,0.0,0.0,0.12996886482147718,0.013516805317568936,0.07961343277963351,0.0,-0.10136627702704112,0.0,0.0,0.11879576777182099,0.17328679513998635,-0.04008566251879475,0.0,0.17328679513998632,0.10136627702704112,0.0,0.054728803801171955,0.08916873598468328,0.0,0.27465307216702745,0.0,-0.17328679513998632,0.0,0.025885169735210045,0.05840371279537637,0.015156155454108755,-0.07192051811294531,-0.03853766995681446,-0.2290726829685388,-0.10136627702704112,0.2580371698875581,0.2312616219465351,-0.4630739635754739
